,date,incidents,n_killed,n_injured,year
429,2014-09-10,185,24,72,2014
430,2014-09-11,203,37,66,2014
431,2014-09-12,167,24,61,2014
432,2014-09-13,180,41,77,2014
433,2014-09-14,183,54,85,2014
434,2014-09-15,161,37,60,2014
435,2014-09-16,161,16,52,2014
436,2014-09-17,155,23,64,2014
437,2014-09-18,154,28,68,2014
438,2014-09-19,163,31,66,2014
439,2014-09-20,179,35,91,2014
440,2014-09-21,183,48,112,2014
441,2014-09-22,140,26,48,2014
442,2014-09-23,126,39,46,2014
443,2014-09-24,173,28,61,2014
444,2014-09-25,163,28,46,2014
445,2014-09-26,175,31,79,2014
446,2014-09-27,174,33,92,2014
447,2014-09-28,189,26,100,2014
448,2014-09-29,152,23,60,2014
449,2014-09-30,161,38,51,2014
450,2014-10-01,167,25,60,2014
451,2014-10-02,171,24,59,2014
452,2014-10-03,167,32,60,2014
453,2014-10-04,140,35,70,2014
454,2014-10-05,170,49,75,2014
455,2014-10-06,133,26,43,2014
456,2014-10-07,152,31,50,2014
457,2014-10-08,168,32,59,2014
458,2014-10-09,144,27,39,2014
459,2014-10-10,144,39,37,2014
460,2014-10-11,169,33,89,2014
461,2014-10-12,140,30,71,2014
462,2014-10-13,175,31,74,2014
463,2014-10-14,178,37,56,2014
464,2014-10-15,144,31,57,2014
465,2014-10-16,163,23,58,2014
466,2014-10-17,175,36,69,2014
467,2014-10-18,163,36,77,2014
468,2014-10-19,159,39,65,2014
469,2014-10-20,176,36,66,2014
470,2014-10-21,157,24,48,2014
471,2014-10-22,174,32,46,2014
472,2014-10-23,145,29,50,2014
473,2014-10-24,152,31,64,2014
474,2014-10-25,210,49,102,2014
475,2014-10-26,169,41,83,2014
476,2014-10-27,163,43,56,2014
477,2014-10-28,130,26,41,2014
478,2014-10-29,151,30,61,2014
479,2014-10-30,133,23,49,2014
480,2014-10-31,133,32,50,2014
481,2014-11-01,144,36,72,2014
482,2014-11-02,119,35,55,2014
483,2014-11-03,120,25,49,2014
484,2014-11-04,132,21,52,2014
485,2014-11-05,141,26,63,2014
486,2014-11-06,119,29,55,2014
487,2014-11-07,139,32,61,2014
488,2014-11-08,175,47,92,2014
489,2014-11-09,167,45,89,2014
490,2014-11-10,138,38,65,2014
491,2014-11-11,152,33,73,2014
492,2014-11-12,138,35,54,2014
493,2014-11-13,113,25,48,2014
494,2014-11-14,108,28,43,2014
495,2014-11-15,152,42,85,2014
496,2014-11-16,142,37,80,2014
497,2014-11-17,118,26,44,2014
498,2014-11-18,117,36,48,2014
499,2014-11-19,111,26,44,2014
500,2014-11-20,107,28,51,2014
501,2014-11-21,104,33,55,2014
502,2014-11-22,130,52,67,2014
503,2014-11-23,145,47,83,2014
504,2014-11-24,102,46,33,2014
505,2014-11-25,113,30,55,2014
506,2014-11-26,102,23,49,2014
507,2014-11-27,96,32,48,2014
508,2014-11-28,100,31,53,2014
509,2014-11-29,126,38,84,2014
510,2014-11-30,125,35,82,2014
511,2014-12-01,111,28,60,2014
512,2014-12-02,101,28,49,2014
513,2014-12-03,110,29,47,2014
514,2014-12-04,108,36,40,2014
515,2014-12-05,125,30,61,2014
516,2014-12-06,121,37,59,2014
517,2014-12-07,134,44,63,2014
518,2014-12-08,116,36,46,2014
519,2014-12-09,109,26,49,2014
520,2014-12-10,115,35,48,2014
521,2014-12-11,115,26,40,2014
522,2014-12-12,142,46,74,2014
523,2014-12-13,136,35,86,2014
524,2014-12-14,125,37,66,2014
525,2014-12-15,132,37,71,2014
526,2014-12-16,122,30,53,2014
527,2014-12-17,134,42,59,2014
528,2014-12-18,107,31,41,2014
529,2014-12-19,128,30,67,2014
530,2014-12-20,124,34,73,2014
531,2014-12-21,142,37,82,2014
532,2014-12-22,129,46,93,2014
533,2014-12-23,131,33,76,2014
534,2014-12-24,111,44,53,2014
535,2014-12-25,87,23,48,2014
536,2014-12-26,144,43,67,2014
537,2014-12-27,175,36,108,2014
538,2014-12-28,172,47,82,2014
539,2014-12-29,111,41,47,2014
540,2014-12-30,109,29,42,2014
541,2014-12-31,128,30,56,2014
542,2015-01-01,214,61,122,2014
543,2015-01-02,121,29,57,2014
544,2015-01-03,120,41,63,2014
545,2015-01-04,123,45,61,2014
546,2015-01-05,108,37,42,2014
547,2015-01-06,118,31,64,2014
548,2015-01-07,104,33,46,2014
549,2015-01-08,118,34,52,2014
550,2015-01-09,127,44,59,2014
551,2015-01-10,92,31,40,2014
552,2015-01-11,127,40,68,2014
553,2015-01-12,96,23,35,2014
554,2015-01-13,112,32,56,2014
555,2015-01-14,128,31,58,2014
556,2015-01-15,149,49,64,2014
557,2015-01-16,126,34,59,2014
558,2015-01-17,143,38,73,2014
559,2015-01-18,131,52,59,2014
560,2015-01-19,119,38,66,2014
561,2015-01-20,157,43,82,2014
562,2015-01-21,133,32,55,2014
563,2015-01-22,139,26,55,2014
564,2015-01-23,105,26,56,2014
565,2015-01-24,126,43,62,2014
566,2015-01-25,129,44,54,2014
567,2015-01-26,133,34,58,2014
568,2015-01-27,120,33,38,2014
569,2015-01-28,121,32,50,2014
570,2015-01-29,130,29,45,2014
571,2015-01-30,133,29,58,2014
572,2015-01-31,105,29,51,2014
573,2015-02-01,113,30,73,2014
574,2015-02-02,98,29,50,2014
575,2015-02-03,94,30,36,2014
576,2015-02-04,111,28,39,2014
577,2015-02-05,115,27,52,2014
578,2015-02-06,112,30,54,2014
579,2015-02-07,133,40,63,2014
580,2015-02-08,148,37,80,2014
581,2015-02-09,105,37,44,2014
582,2015-02-10,125,34,48,2014
583,2015-02-11,114,29,40,2014
584,2015-02-12,95,36,30,2014
585,2015-02-13,99,31,32,2014
586,2015-02-14,104,31,52,2014
587,2015-02-15,128,42,67,2014
588,2015-02-16,101,26,39,2014
589,2015-02-17,101,28,45,2014
590,2015-02-18,102,26,48,2014
591,2015-02-19,108,30,47,2014
592,2015-02-20,91,33,28,2014
593,2015-02-21,111,29,41,2014
594,2015-02-22,106,34,74,2014
595,2015-02-23,129,26,60,2014
596,2015-02-24,99,24,40,2014
597,2015-02-25,113,29,50,2014
598,2015-02-26,109,35,34,2014
599,2015-02-27,122,24,44,2014
600,2015-02-28,122,35,68,2014
601,2015-03-01,121,38,68,2014
602,2015-03-02,123,27,59,2014
603,2015-03-03,133,37,64,2014
604,2015-03-04,115,32,50,2014
605,2015-03-05,102,25,49,2014
606,2015-03-06,113,26,40,2014
607,2015-03-07,153,45,91,2014
608,2015-03-08,135,46,85,2014
609,2015-03-09,124,36,60,2014
610,2015-03-10,131,41,54,2014
611,2015-03-11,150,40,71,2014
612,2015-03-12,132,22,51,2014
613,2015-03-13,142,30,75,2014
614,2015-03-14,145,37,92,2014
615,2015-03-15,151,42,98,2014
616,2015-03-16,148,33,63,2014
617,2015-03-17,149,36,59,2014
618,2015-03-18,161,27,88,2014
619,2015-03-19,139,36,49,2014
620,2015-03-20,146,45,69,2014
621,2015-03-21,152,34,93,2014
622,2015-03-22,137,46,76,2014
623,2015-03-23,116,22,52,2014
624,2015-03-24,167,46,63,2014
625,2015-03-25,137,32,53,2014
626,2015-03-26,148,33,72,2014
627,2015-03-27,138,38,62,2014
628,2015-03-28,157,43,77,2014
629,2015-03-29,144,36,71,2014
630,2015-03-30,141,30,63,2014
631,2015-03-31,164,29,76,2014
632,2015-04-01,155,30,66,2014
633,2015-04-02,153,25,85,2014
634,2015-04-03,155,33,83,2014
635,2015-04-04,166,52,78,2014
636,2015-04-05,150,41,101,2014
637,2015-04-06,157,30,68,2014
638,2015-04-07,158,25,66,2014
639,2015-04-08,160,38,54,2014
640,2015-04-09,148,30,55,2014
641,2015-04-10,140,33,59,2014
642,2015-04-11,143,30,74,2014
643,2015-04-12,181,45,98,2014
644,2015-04-13,158,32,89,2014
645,2015-04-14,126,34,50,2014
646,2015-04-15,151,25,65,2014
647,2015-04-16,139,26,64,2014
648,2015-04-17,183,43,87,2014
649,2015-04-18,193,44,125,2014
650,2015-04-19,160,44,94,2014
651,2015-04-20,148,25,61,2014
652,2015-04-22,150,39,53,2014
653,2015-04-23,133,38,51,2014
654,2015-04-24,137,25,56,2014
655,2015-04-25,139,37,82,2014
656,2015-04-26,157,34,96,2014
657,2015-04-27,167,28,87,2014
658,2015-04-28,135,26,67,2014
659,2015-04-29,190,45,79,2014
660,2015-04-30,139,38,56,2014
661,2015-05-01,159,42,57,2014
662,2015-05-02,141,29,81,2014
